Inicio_CozMal,Fim_CozMal,Temp_Max_CozMal,Dur_CozMal
2023-01-21 22:08:18,2023-01-21 23:43:23,77.9539566040039,5704.963000000001
2023-01-21 23:56:03,2023-01-22 01:24:50,78.08365631103516,5327.121
2023-01-22 01:35:19,2023-01-22 03:18:29,77.86964416503906,6190.192
2023-01-22 04:56:37,2023-01-22 06:28:42,78.0252914428711,5525.479
2023-01-22 06:44:55,2023-01-22 08:15:52,78.03501892089844,5456.7570000000005
2023-01-22 08:33:19,2023-01-22 10:03:05,77.90206909179688,5385.995
2023-01-22 13:42:12,2023-01-22 15:14:50,79.46173858642578,5557.929
2023-01-22 15:28:37,2023-01-22 17:04:04,78.07392883300781,5726.991
2023-01-22 17:11:39,2023-01-22 18:49:00,78.13877868652344,5841.284000000001
2023-01-22 18:56:19,2023-01-22 20:33:29,77.99935150146484,5829.348
2023-01-22 20:55:48,2023-01-22 22:24:56,78.0058364868164,5347.517000000001
2023-01-22 22:42:05,2023-01-23 00:17:22,77.95071411132812,5716.841
2023-01-23 00:23:32,2023-01-23 02:06:11,77.9539566040039,6158.611000000001
2023-01-23 02:07:51,2023-01-23 04:02:45,77.92152404785156,6894.084000000001
2023-01-23 04:59:34,2023-01-23 06:40:01,77.92476654052734,6027.2390000000005
2023-01-23 06:43:21,2023-01-23 08:40:23,77.90855407714844,7022.816000000001
2023-01-23 08:40:35,2023-01-23 10:38:49,77.92800903320312,7093.357000000001
2023-01-23 10:39:06,2023-01-23 12:48:21,78.01880645751953,7754.963000000001
2023-01-23 13:13:34,2023-01-23 14:55:21,78.04150390625,6106.667
2023-01-23 19:47:34,2023-01-23 21:23:01,77.9896240234375,5727.426
2023-01-23 21:30:50,2023-01-23 23:14:18,78.03501892089844,6208.539000000001
2023-01-23 23:36:17,2023-01-24 01:14:39,78.0577163696289,5902.425
2023-01-24 01:14:50,2023-01-24 03:17:47,77.7756118774414,7377.072
2023-01-24 03:38:28,2023-01-24 05:16:10,77.77236938476562,5862.193
